Rank
23,1013,2022,2657,3765,3867,4135,4405,4863,5301,5305,5411,6397,7254,8789,9382,9499,19689,207711,708921,802859,914130
24,302412,602923,702929,708199,802934,808204,902938,908212
25,1261,1532,2143,2151,2174,2367,2375,2613,2743,3241,3690,3830,4359,4996,5157,5490,5550,5687,6536,6635,6686,8765,9241,9270,9734,12319,14328,14356,15585,15642,16736,17230,17730,18505,18644,24076,34522,38684,40641,102145,102155,102379,102617,102762,103247,103694,104364,104904,105001,105161,105494,105563,105700,106541,106639,106690,108773,109245,109274,109742,112327,114332,114360,115593,115646,116758,117234,117734,118522,118648,124080,134526,138688,202149,202161,202384,202621,202773,203251,203699,204054,204368,204909,205033,205171,205363,205498,205567,205704,206550,206643,206694,208779,209259,209279,209746,212332,214339,214365,215597,215650,216762,217238,217738,218526,218652,224090,234530,238705,302153,302165,302388,302625,302777,303255,303703,304058,304372,304913,305037,305175,305367,305502,305571,305708,306559,306649,306703,308783,309263,309283,309756,312336,314343,314369,315601,315654,316766,317242,317742,318530,318656,324094,334537,338710,402158,402169,402392,402629,402786,403259,404062,404376,404917,405043,405181,405371,405402,405506,405575,405712,406563,406657,406707,408791,409267,409291,409760,412340,414347,414375,415607,415658,416770,417247,417746,418534,418660,424098,434541,438716,502162,502192,502396,502671,502791,503265,504066,504380,504921,505048,505190,505375,505406,505510,505579,505717,506574,506669,506712,508797,511641,512199,512345,512689,514351,514379,515611,515662,516774,517253,517753,518538,524102,528301,534545,538722,602166,602196,602400,602675,602795,603270,604070,604384,604931,605052,605194,605394,605410,605514,605584,605727,606585,606716,607139,608801,611645,612203,612353,614101,614358,614430,615619,615666,616787,617257,617757,618542,624106,628308,634549,638726,702172,702222,702404,702679,702802,703274,704074,704391,704938,705062,705198,705399,705431,705519,705588,705731,706589,706723,707151,708805,712207,712362,714105,714365,714434,715104,715624,715670,717261,717762,718547,724110,724117,728314,734553,738736,802179,802226,802409,802683,802806,803278,804078,804395,804948,805066,805202,805404,805435,805524,805593,805735,806595,806728,807155,808822,812211,812366,814111,814369,814438,815113,815628,815674,817265,817769,818554,824114,824124,828318,834559,846457,902183,902241,902413,902698,902810,903282,904114,904401,904952,905070,905207,905408,905439,905537,905600,905740,906606,906744,907160,908826,912215,912372,914115,914373,915118,915632,915687,917270,917774,918558,924118,924128,928322,934570,942908,946461
26,103,153,244,499,536,585,727,1055,1169,1387,1728,1840,2430,2452,2501,2724,2957,3064,3132,3165,4084,18613,100345,100384,100503,100704,200349,200389,200507,200713,205583,300361,300394,300511,300717,400365,400398,400516,400721,500369,500406,500525,500726,600373,600410,600529,600730,700377,700414,700533,700736,707301,800381,800418,800537,800740,802426,900388,900449,900541,900744,908565,955810
27,943,957,1313,1532,1599,1778,2139,2330,3581,3625,3813,5276,8083,100961,101783,102334,103590,103656,103817,200972,201790,202339,203601,203824,204054,300976,301794,302343,303605,303828,400980,401798,402347,403611,403839,500987,501808,502351,503620,503843,600996,601817,602355,603624,603856,700351,701000,701821,702370,703649,703860,801004,801827,802374,803666,803876,901008,902379,903670,903887
28,85,130,136,142,160,195,309,370,392,405,411,450,461,483,498,508,532,556,562,583,626,629,674,693,693,718,721,759,772,776,781,788,791,820,843,873,894,913,947,978,1028,1034,1060,1082,1163,1236,1274,1349,1350,1377,1400,1445,1450,1505,1513,1559,1608,1619,1622,1652,1772,1822,2055,2100,2143,2188,2245,2328,2488,2580,2790,2820,3058,3097,3130,3223,3490,3682,3758,3898,4194,5292,5547,15693,100158,100221,100251,100348,100354,100525,100545,100555,100560,100622,100741,100759,100780,100874,101026,101256,101259,101292,101655,102026,102040,102251,102265,102268,105144,200174,200227,200257,200354,200358,200551,200559,200568,200586,200640,200753,200764,200784,200878,201030,201260,201272,201296,201659,202030,202045,202255,202269,204475,205155,300179,300234,300261,300358,300362,300563,300563,300572,300590,300655,300757,300768,300788,300882,301034,301264,301294,301300,301663,302034,302050,302259,302273,305159,400184,400240,400265,400362,400369,400567,400569,400576,400601,400659,400765,400772,400792,400886,401038,401271,401304,401304,401667,402038,402054,402263,402277,405163,500188,500257,500269,500366,500373,500571,500573,500605,500618,500663,500769,500776,500804,500891,501103,501275,501308,501308,501671,502043,502060,502267,502281,505167,600192,600262,600273,600370,600377,600578,600601,600622,600671,600780,600805,600812,600895,601107,601282,601313,601316,601677,602052,602066,602252,602271,602285,605173,700196,700277,700380,700548,700582,700607,700630,700696,700784,700809,700816,700899,701111,701294,701321,701684,702056,702072,702256,702275,702289,702300,706553,800201,800282,800384,800552,800586,800634,800706,800721,800788,800813,800820,800903,801116,801305,801325,801691,802060,802076,802260,802287,802304,802426,900206,900286,900397,900556,900591,900638,900710,900771,900792,900821,900828,900907,901309,901332,901635,901706,901829,902066,902080,902264,902292,902451
29,700264
30,40,47,57,91,130,135,136,153,159,181,184,191,195,217,227,247,265,294,306,341,342,348,350,366,367,377,379,383,415,429,445,453,498,521,532,538,540,542,551,556,618,654,662,693,700,720,737,755,774,775,779,793,870,943,949,956,959,983,1022,1034,1086,1106,1162,1187,1252,1255,1283,1437,1439,1441,1472,1551,1622,1648,1651,1753,1762,1772,1927,2021,2036,2072,2096,2210,2245,2245,2258,2328,2366,2386,2676,2700,2936,3125,3937,4317,4457,5077,5140,5669,102082,102946,104321,204325,204475,304329,404333,504337,604357,704361,804366,904376
