Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
51,87573,299831.7272727273,861969,242.532,743.8181818181819,1757.204,11
54,42196,253426.92592592593,861802,131.06900000000002,610.7919999999999,1756.568,27
57,42091,294323.734375,1158545,129.462,680.293078125,2094.863,64
60,10973,205549.18867924527,1270938,46.141,541.8035283018867,3075.4120000000003,212
63,7884,87569.23664122137,1161317,33.5,283.81998091603043,3387.215,262
66,1268,39444.10902255639,912733,11.214,150.09439849624067,3181.071,266
69,121,12942.404494382023,65222,3.403,60.10416853932588,289.478,267
