Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
49,243397,243397.0,243397,144.80700000000002,144.80700000000002,144.80700000000002,1
51,196150,225351.0,243397,132.838,140.775,144.80700000000002,3
54,68729,230732.2857142857,430625,40.35,179.85657142857144,527.53,7
57,68177,217766.86666666667,471417,33.862,142.67006666666668,527.038,15
60,23210,194619.37190082646,874161,7.4750000000000005,125.3533140495868,1054.65,121
63,20435,85431.20805369127,645274,3.2920000000000003,59.22146308724833,1193.422,149
66,406,25386.450980392157,142459,0.095,15.535503267973855,103.034,153
69,8,59.93464052287582,401,0.0,0.11816993464052286,1.976,153
