Rank
53,738911
54,381963,484998,724306,908736,1124045,1179811
55,274092,336222,346481,391569,447824,551646,593810,720791,832915,996202
56,202652,205238,225309,230853,253275,297154,312028,341180,357089,362086,381859,429479,456241,474859,636855,1068056
57,74609,137968,189915,190126,197803,210179,221559,229382,232620,258234,266691,303327,305692,400070,431779,467401
58,64374,115000,126366,130434,164527,167683,168343,172262,191689,191808,210974,271481,279258,285945,288770,366133
59,43555,90347,100239,102105,114011,126658,135852,144921,153469,155722,165300,185764,216296,274704,284240,340163
60,30984,44311,58938,63705,81299,85627,98842,100344,113883,124275,126128,132582,170116,182171,246118,261328
61,23250,24789,25836,43731,48442,49234,59441,80497,81133,85870,97577,104549,114613,128069,148477,216522
62,17805,18894,19576,21839,24967,29394,31892,44901,54518,65907,69002,75063,81941,84700,96236,97628
63,3694,3976,7218,8847,10578,12784,17117,17623,21193,29150,30038,36275,36477,42791,74241,92637
