Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
108,1372551,2132667.0,3348482,3769.857,5993.194,8847.733,3
111,1017862,2009514.5,3091624,3128.6800000000003,6429.2408749999995,9980.723,8
114,574781,1935003.6666666667,3412340,2283.889,6803.769904761906,10734.882,21
117,457096,1642744.657142857,3107130,2116.954,6317.7937999999995,10681.115,35
120,262811,1346606.92,2739484,1479.1290000000001,5687.87744,10268.722,50
123,99632,934542.2931034482,2354526,433.539,4426.729637931035,10551.337,58
126,67902,701039.5238095238,2243060,388.75100000000003,3572.9535555555562,9932.269,63
129,24095,420492.890625,1067822,120.392,2328.486359375,6085.331,64
132,3063,173200.09375,807872,15.545,1094.842265625,4888.226,64
