Rank
49,615263
50,615259
51,615257
52,598212
53,371702,424989,467692,494493,499396,557480,597069,597414,635124,658189,883202,945271,952652
54,259572,278209,284380,300408,319249,357468,363607,365999,366497,372424,385845,391457,397699,409521,421282,423074,437963,470549,496440,499390,515796,519247,528529,536750,538401,544431,556416,563367,571245,587257,588511,594916,597056,625092,634700,638655,656804,673584,684286,691109,714161,718115,721012,733487,742037,751372,752800,765544,765910,772421,781581,806369,824617,828201,841359,859546,881126,883048,891774,901195,907141,913220,927269,945159,963530
55,163835,212488,213141,217473,233093,247662,256552,259489,265564,271578,275358,279293,281248,286313,287105,291317,291816,294564,301983,302489,306359,320602,324172,327889,335758,338383,347165,347931,361547,361597,363346,365759,370695,371015,385185,388490,389345,391774,392381,393914,400136,410066,410836,413524,415888,423077,425549,435513,443270,444885,457591,458434,458581,462360,466686,466843,475675,481019,483039,489523,493494,493839,494010,498675,504507,505382,510022,513081,518525,519655,521497,525046,526470,528442,534994,535359,537263,543370,551834,553239,554613,558285,562881,575785,586384,586835,589570,591786,591825,597919,599285,601426,606835,606849,606985,617739,620262,626339,628538,635484,643419,648862,649275,651941,652008,654141,655853,655910,658280,660300,668258,668459,669633,669900,670328,671722,677041,682406,684337,687402,689362,693227,693933,702549,706871,709890,718149,721772,725986,730323,734499,735985,737049,740118,749132,752557,752786,759150,761862,763389,779653,783126,785266,792008,800262,815455,832509,857567,861374,864158,874922,879918,881173,890898,893478,893492,899880,920048,921415,922117,934176,939729,940102,962802,965754
56,88497,99119,107315,113560,143926,147360,165420,172388,176785,181265,181726,182725,187861,188440,190133,194506,196229,210458,210964,211418,212526,215462,222889,227612,228828,232467,233770,234184,236028,239875,240641,243628,243948,247442,247796,248076,250691,253344,260715,266769,268367,268954,269125,270779,272798,273959,275501,279178,280182,280889,285355,292200,293459,295678,297140,297616,298180,299853,307480,308788,308968,310080,312382,313680,314666,316189,317632,319574,324490,325989,328449,329735,330612,330680,332180,332288,333972,334733,335731,339027,342094,343074,344081,345923,348898,351443,354735,355917,360339,363255,366634,367230,369012,374605,376136,376827,377588,380827,382502,382641,384743,388941,390202,393212,398567,399299,399614,400028,400445,401549,403253,403280,403445,403644,405198,405358,405533,406093,415138,415508,415715,418824,420621,421687,421777,424413,425561,428444,432284,433652,438239,438492,439693,442507,445344,445752,446045,448973,449307,454140,457239,459820,460030,461359,463542,463879,464427,469507,473535,477081,478733,482191,483787,483958,486743,492832,493914,497571,500563,502044,502851,503069,505712,506578,508057,509398,516228,519613,520128,522714,524917,534871,539692,543529,544173,558753,559192,559208,559752,566589,569736,569972,571419,577432,586271,589749,597802,598367,599020,604389,615108,619748,621855,623165,623475,631231,641398,645459,649780,653173,653441,657434,661620,663625,668220,669659,669852,682999,687746,689162,697837,700984,701320,701726,711855,715795,720726,725668,745149,753362,764074,765161,792217,799336,811928,818766,848983,852064,854489,854560,861354,865056,867789,966713
57,60995,66164,68470,78230,80416,82835,86818,103597,114345,115964,116604,116783,130608,132632,133362,134552,137029,138312,139425,146621,149055,150068,150279,153866,157763,159466,161583,163992,165264,167739,168715,169834,175928,177496,177786,177955,179333,181257,184767,184837,186166,188872,190045,190251,190427,190622,195816,197955,198735,199677,200218,200911,201109,201425,202687,204365,206693,207120,208833,209114,210678,211741,217810,219954,220746,222244,222971,223279,223296,223462,225070,229624,230684,231921,232620,233696,236473,236730,240064,240539,241628,242167,243101,243500,244478,244656,244793,245200,245366,247515,248837,250739,252080,252213,252832,254254,254277,256972,257687,258389,263096,263405,263611,265286,266960,267347,271570,271625,273668,275943,277953,279172,281790,285817,286370,287322,290720,292275,295083,295579,295886,297345,297642,298360,299262,299737,300905,301716,304394,304935,305662,305681,305778,307251,307421,308556,310261,313602,314560,316360,316515,318770,319132,319209,319903,320422,321968,323559,323764,324285,325827,328281,330506,330567,331921,333530,334424,334952,335571,335699,337185,340609,344910,345502,346292,347318,347730,352773,353089,354110,354461,355480,357166,358204,359600,359600,362171,362515,365712,365915,366666,366974,367248,371647,374311,374437,374788,376438,380957,382345,385576,387774,388623,392875,394751,396498,399205,399389,402352,403785,405162,406549,407712,407724,412553,412941,417161,417648,424868,426058,429462,434156,442806,451201,454109,454122,460858,462714,465768,468376,469194,475927,487757,496505,501669,504900,506018,508992,515858,516291,525154,526884,544592,573002,586942,608770,627807,630827,649890,652977,666704,671286,693760,698258,721912,745448,770422,785349,846800
58,27267,41986,50990,60431,63661,67272,70640,70890,77366,78186,82870,86475,86685,97552,99236,100678,102222,102443,103028,108191,108856,110335,112602,112890,113947,115092,115435,121453,121631,129834,130321,132679,133237,133733,135635,136191,137286,137435,139039,139765,140499,141380,141844,144197,144325,144758,145216,147312,147550,151236,151773,153322,157017,157119,158457,159034,159054,160856,161830,162658,164297,164315,165720,166022,167283,170822,170841,172014,172254,174125,174487,174539,176142,176435,176461,176825,177530,177539,177890,177944,178158,178309,179772,181772,183618,184060,184398,185179,190069,191286,193283,194270,195344,195679,196309,196530,197978,198286,198901,199640,200373,200732,203444,203530,203776,204319,204935,205110,205284,207462,207746,210095,210624,211232,214487,219545,219892,220492,220666,220755,220877,221098,221219,221457,221960,222646,225527,227198,227501,227544,227799,228668,229669,231613,232842,233701,234615,236908,237803,238112,240028,240844,241107,243484,246307,246358,247317,248857,249447,249632,250140,251101,252617,254259,254514,255318,255779,256061,258173,260474,261947,262584,262620,263386,263609,266226,266799,267941,269171,270578,274924,275215,279969,280679,282234,284279,286213,287401,287873,288054,289610,289767,290187,290473,290624,291451,293010,293447,293487,295204,297141,297908,298339,299457,300208,301604,306279,307873,308213,312348,313135,317322,319860,322631,326883,332633,337598,339395,342373,343696,350309,350841,353546,354554,354607,354983,358069,359852,360370,361281,361622,367241,373083,377318,377335,379290,388061,388091,389478,391760,397725,405207,410941,414067,414992,421105,428048,429039,435119,447529,458616,471754,502439,505855,519928,522149,522719,594826,672451,834642
59,25806,32588,35757,40450,43010,46446,49013,50909,56011,58499,60406,61457,62784,62857,67830,68027,68166,68245,69341,70625,73254,74138,76782,79728,82616,84754,85959,86217,86699,88095,88395,89824,90715,90879,91227,91462,93748,93905,93983,94532,95813,95862,95872,96422,96743,97428,97512,98064,98592,100834,101761,103644,104194,106210,108179,108391,108836,110129,110171,110835,111529,111962,118897,120323,121668,121764,121835,122046,122151,122348,123117,123565,124597,125975,126096,126425,127262,127480,130629,130704,130979,132719,133740,134354,135894,136200,136519,137378,137418,138018,139501,141015,141817,142321,143411,143810,146763,147300,148279,148896,149739,150190,151396,151618,154554,155299,159146,159473,159979,160035,160227,160326,162167,162224,162712,163061,163283,163833,164955,166436,166691,168273,169728,169854,169954,171149,171422,172266,172748,172815,172905,172999,173938,174549,175906,176048,177174,179277,179301,181564,182390,182846,183608,184262,186385,186868,189923,190342,191920,193367,194243,194698,196077,197460,198338,198583,200972,202725,203287,204052,204490,205681,205730,206070,206174,208391,208716,209389,209576,210635,210651,211796,212226,212930,213796,214504,214668,214723,216010,221059,221516,222105,225488,226397,228176,234246,234857,235761,236536,236809,237180,237527,239210,239377,240022,240177,240210,242104,243378,244459,244567,244786,244997,245660,247408,251161,258562,259828,260231,260321,262653,263056,266386,267858,268209,268277,268734,272515,273439,278152,282462,286745,289546,291834,292932,293436,293753,296235,298431,304409,307063,309435,312091,318434,321358,325551,341372,343951,348647,353444,363424,370169,372344,374887,380939,399011,446818,449015,454613,510174
60,22010,23148,26847,27370,31387,31445,33726,34098,35951,38078,38683,39374,42080,42154,42706,42839,43928,44055,45904,46555,47462,48588,49054,49871,50290,53683,55435,55512,55847,58386,58855,58883,60295,61905,62309,62657,67165,67325,67417,67517,67631,69417,70820,71382,72043,72871,72906,73532,73656,75709,76132,76604,76705,77089,77649,78614,78663,80714,81086,82363,83336,83813,84112,84830,84890,85377,86745,87366,88225,88915,88999,90070,90120,90440,91672,91702,92821,92891,95400,95954,96466,96531,96701,96994,97768,97945,97963,98295,98347,98837,99238,99549,100766,101187,101713,101744,101756,103100,103137,104832,105880,106646,106676,106793,107072,108162,108239,109968,111744,112857,113316,113797,116419,117100,117804,118266,119684,120242,122885,125783,126603,127826,127953,128254,128742,129032,129564,129677,130632,132239,132351,132610,133841,134208,135046,137016,137129,137198,137419,137507,138672,139270,140192,141299,142888,143074,143150,144266,145013,145890,146711,147463,147870,149479,149786,151584,152337,154275,156121,156599,158488,159297,159577,160756,162711,162725,165415,166003,166259,166904,167281,167685,167854,168077,169138,169631,170384,173441,174733,175344,177205,178172,178186,179022,180687,183359,185164,185608,185901,186356,190809,191624,193369,194429,194713,195494,196135,196267,196507,196968,197284,198453,198688,198942,199738,199996,202775,203501,203771,204167,207016,208674,209663,211297,212213,212688,220505,220602,223971,225145,229147,232119,235309,237238,238987,246275,246896,248805,249682,249774,249978,258836,260048,262108,263587,266459,275256,276186,282782,284564,285477,288551,291481,292151,295594,332005,337530,362481,373900,379782
61,14067,14150,15270,15692,16305,16967,17175,20816,22489,22956,23488,25328,25823,26853,27221,27337,27534,27797,30305,30688,31063,31295,31670,33202,33381,33583,34455,34556,34654,37208,37972,38166,39426,40424,40499,42115,42298,42870,43656,43767,43830,44445,44863,45324,46054,48597,48754,50527,51098,52214,53158,53698,54015,54761,55580,55613,55970,56056,56263,56423,57480,58453,59098,59650,59674,59875,60314,60737,61226,61268,61500,61552,61593,62053,62783,63523,63613,64195,64341,64475,64506,65256,65340,65663,65802,66618,67502,67818,68172,68372,69252,69394,69696,69829,70288,70575,72749,73081,76462,77941,80270,80583,80750,80907,81471,82098,82200,82313,83072,83408,83560,84343,84855,84913,85578,86914,87655,87897,88684,89560,89595,89636,89733,90504,91142,91246,91421,92115,92451,92479,93204,93730,94835,94879,96171,97324,97391,97456,98341,98379,101403,101414,102809,103186,104168,104225,104334,105236,110389,112381,112714,113745,114783,115436,116004,116353,117856,118845,119088,120724,120831,121201,122167,122526,123174,123179,123910,125162,125218,127282,127351,127968,129950,130293,130478,130895,131485,134013,134093,134180,134966,135030,136486,137170,138116,142169,142264,143280,144025,144255,145009,145201,145326,149038,149810,150865,153744,154401,156928,157244,157986,159477,161445,162484,164461,165238,165350,167019,167144,169004,170448,172631,172960,172982,175561,176179,178256,184258,185301,187314,190020,190991,191606,191820,193011,195134,198250,199363,199788,205735,211246,214479,219559,220689,224293,228058,228059,230367,235950,237035,242903,256249,257848,258588,269728,276841,277117,281504,281607,328979
62,5048,5813,8284,8446,8533,8591,8643,9293,9336,10114,10156,10518,10903,11319,11363,11732,12984,13083,13863,13874,14059,14118,15016,15127,15136,15630,15679,15851,16364,16465,16806,17337,17607,17885,18620,19384,19390,19751,19818,20111,20471,20477,20956,21054,21628,21668,21672,22173,23524,25766,26283,26362,26667,26775,27095,27113,27454,27740,27799,28286,28303,28997,30171,30632,30764,33274,34650,34928,35075,35450,35588,35631,35879,36405,36440,36809,36882,37309,38120,38902,39237,39762,39889,41037,41042,41739,42019,42588,42716,42730,43524,44976,44976,45332,45473,45736,47483,47789,49065,49079,49142,49760,50175,50244,50912,51238,51804,51907,52136,52182,52462,52634,53122,53437,54368,55194,55332,55678,56048,56140,56619,56995,57848,58157,58206,58447,60689,60738,60775,62020,62284,63445,64158,64339,64422,64887,65033,65593,65708,66282,66550,66683,68049,68109,68164,68472,68721,68993,69676,69682,70863,70870,72057,73908,74506,74867,74976,75429,76003,76575,76750,77067,77699,77716,77854,79621,79784,79865,80366,80628,81413,81933,82781,83294,84251,84377,85543,87134,87358,87687,88853,89265,89788,90278,94494,97754,97810,99259,99361,99483,100094,105487,105524,108421,109287,110836,112322,112555,113001,113442,113575,114699,116366,117763,118680,119032,119074,119606,119654,122698,123250,123482,124763,126287,128590,130574,130937,131545,131962,134731,135682,136634,137266,141996,142318,142693,144581,150839,155850,157680,160435,165458,165668,166704,168654,169526,169973,171480,172405,172707,180795,191110,195422,203476,209699,219785,222398,228110,238320,266348
63,672,697,827,889,1089,1113,1625,1733,1750,1823,1832,1955,2004,2027,2201,2451,2613,2647,2847,3409,3817,3991,4149,4214,4340,4587,4613,4668,4846,4950,5349,5459,5691,6015,6016,6111,6524,6592,6671,6721,6721,6784,6930,6937,7085,7333,7338,7354,7464,7794,7973,8070,8098,8237,8335,8353,8488,8821,8830,8940,9079,9202,9219,9490,9609,9648,9680,10268,10327,10658,10845,10868,10957,11040,11048,11287,11325,11473,11610,11848,12413,12454,12577,12780,12891,13259,13314,13423,13857,13985,14049,14122,14434,14464,14922,14959,14997,15052,15068,15502,16031,16063,16095,16105,16217,16249,16739,16921,17074,17530,17884,18179,18449,18486,18563,19036,19073,19572,19812,20214,20744,20852,20945,22415,23447,23625,23768,25626,26010,26060,26645,27473,27643,27721,28105,28139,28693,28887,29462,30082,30437,31683,32092,32184,32293,32749,32870,33548,33864,33912,34075,34831,36169,36711,37842,38664,39208,39440,39645,39970,41090,41129,42416,42598,42668,42731,42860,43163,43621,43821,44419,44905,45195,47006,47046,47902,48046,48340,49719,50384,50758,50824,50867,51379,51838,52217,52705,52976,52989,53391,54027,54332,55161,55445,56803,57345,57781,57806,58881,58888,58907,60104,60954,61201,61567,61696,62155,63598,64888,64901,67699,68861,69423,71276,72365,73549,74206,74672,74835,74837,75658,79889,80591,81102,87555,88387,91585,92093,93749,94399,94440,98787,106797,113138,120034,121782,125011,130504,134159,140111,141011,142170,143801,147349,177848,183967,184816,185008,190483,230487
