Rank
50,113981
52,55308,113980,492361
54,55308,113962,492357
57,54853,112871,492212,711296,4596771
60,18472,23912,32886,51421,60482,65477,68087,76648,85598,93988,135370,153966,173088,253934,258188,434109,620951,694006,777626,1258632
63,4343,11461,12370,17928,22341,33919,36611,41343,48848,56708,67350,68036,69743,70986,83983,100283,101266,121258,127040,139277,144250,201559,236329,307442,672292
66,1762,2594,2971,4239,5108,5490,7091,8282,9459,10049,13124,14796,14882,16638,17671,18997,19653,20506,41319,48156,51981,53337,54787,55894,66259
69,250,424,660,1013,1166,1329,1686,2012,2320,3438,3729,3743,4386,5019,7646,7666,11849,13049,14250,17232,18458,22233,32205,40794,40923
