Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
50,113981,113981.0,113981,4.063,4.063,4.063,1
52,55308,220549.66666666666,492361,3.1870000000000003,7.985666666666668,16.71,3
54,55308,220542.33333333334,492357,3.186,7.985,16.71,3
57,54853,1193600.6,4596771,3.1750000000000003,42.1772,154.677,5
60,18472,266842.05,1258632,1.06,13.111799999999999,59.714,20
63,4343,111878.64,672292,0.333,6.321640000000001,30.873,25
66,1762,22601.8,66259,0.20700000000000002,1.7349600000000003,4.705,25
69,250,10299.2,40923,0.029,0.8862399999999999,3.463,25
