Rank
53,596539,1998723
54,495968,783334,1974029
55,239351,458691,474553,486892,675074
56,222100,346729,471613,481687,531919
57,198195,247943,264481,456584,460988
58,138627,168164,234481,419300,422227
59,108748,138415,196614,224503,398131
60,76770,117083,172185,219492,267251
61,29215,36929,165026,191066,201704
62,12429,29093,57738,63999,96824
63,2143,4867,47801,49154,71195
