Rank,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%
51,141066,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,141053,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,39565,66930,140103,167611,235045,558840,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,17945,28648,30796,31153,32398,33086,33495,35355,36086,36334,39572,44468,46499,50485,51386,58472,62195,71320,73799,74626,77044,79189,81195,84579,84831,88335,91916,93223,95834,97610,99479,101515,103193,103746,106867,108663,123673,125879,129264,130460,134065,134586,137223,146651,147362,160919,161021,170935,173054,178929,194608,201632,250445,256357,261475,268516,274338,302637,325473,329007,356320,367974,419792,431793,434855,464332,676708,995646,1000000,,,,,,,,,,,,,,,,
63,11650,12601,13245,13593,14116,14666,15259,21582,22781,22885,23264,23757,26604,29677,30189,30822,32242,32980,33371,35179,36506,37957,37958,38154,40257,40622,40895,41808,42322,42625,46065,47098,47707,47925,51080,52913,53213,53460,54403,57193,62218,62986,63009,63068,63951,64878,65685,66986,69933,70189,71170,72095,73763,73770,73902,74845,75252,75769,79323,82389,82535,83903,84151,85120,93416,95381,96742,99401,100117,100437,100776,101344,103845,104635,104826,106757,117005,120691,126148,167234,191714,200092,323928,450399,487076
66,2684,3454,4298,4452,5530,5825,6410,6911,7728,8298,8858,9374,9853,9946,10322,10524,11150,11165,11174,11953,12102,12683,13025,13182,13639,14104,16812,17726,19753,19874,20436,21045,22793,23347,23509,23760,23983,24203,24349,24705,24835,24876,26276,28113,29246,30304,30354,30395,30887,30901,31021,31384,31673,32095,34247,35863,36081,36496,36683,37038,38724,39215,39720,41539,42936,43312,44875,46486,47579,50015,50992,51184,58614,59045,65154,67665,68797,79124,84718,88930,90826,90828,92650,99312,104835
69,39,43,294,304,443,461,813,946,1176,1414,1807,1869,1905,1959,2048,2392,2548,2655,2740,2832,2889,2963,2973,3141,3327,3533,3619,3835,4026,4042,4132,4557,4606,4813,5055,5430,5447,5457,5652,5822,5834,5948,6190,6383,6386,6645,6873,7269,7618,7794,7872,8471,8543,9086,9175,10254,10301,10552,10704,11532,11851,12425,12457,12828,15192,15237,15734,16390,17240,17652,18343,18590,19706,21379,21725,22347,22828,22991,23880,30518,35723,37716,39200,41300,47054
