Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
51,141066,141066.0,141066,6.707,6.707,6.707,1
54,141053,141053.0,141053,6.706,6.706,6.706,1
57,39565,201349.0,558840,1.954,8.701833333333333,20.614,6
60,17945,165459.79411764705,995646,0.9580000000000001,7.969088235294116,38.116,68
63,11650,76511.50588235294,487076,0.655,4.645623529411766,25.923000000000002,85
66,2684,32479.788235294116,104835,0.214,2.3366705882352945,6.985,85
69,39,9973.447058823529,47054,0.009000000000000001,0.8366823529411765,3.946,85
