Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
23,1013,130351.19047619047,914130,0.012,0.8509523809523808,6.195,21
24,302412,717343.875,908212,1.02,3.4758750000000003,4.479,8
25,1261,459329.64265927975,946461,0.018000000000000002,1.9171994459833777,6.957,361
26,103,343698.98412698414,955810,0.002,1.5083333333333335,6.5520000000000005,63
27,943,379280.1666666667,903887,0.014,2.0517666666666665,6.315,60
28,85,352178.3771043771,902451,0.002,2.6586801346801354,9.397,297
29,700264,700264.0,700264,3.672,3.672,3.672,1
30,40,45264.419642857145,904376,0.001,0.30662500000000004,5.729,112
