Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
49,19918,223132.7142857143,510145,4.664,88.59842857142858,367.66200000000003,7
51,19918,187967.2,510145,4.6610000000000005,70.44980000000001,367.66200000000003,10
54,19656,180728.5,510143,4.654,55.51337500000001,367.66200000000003,16
57,19654,229230.71794871794,986474,4.6530000000000005,59.6352564102564,447.653,39
60,11908,153260.496,807395,3.661,41.31604000000001,457.522,125
63,10875,86870.96428571429,934872,3.349,25.525807142857154,264.8,140
66,3538,33488.694444444445,218065,1.191,10.471368055555551,69.378,144
69,113,13935.798611111111,75165,0.073,4.770861111111112,26.964000000000002,144
