Rank
23,1271,2384,4357,4627,4857,5004,6000,6019,7086,7468,7839,8065,8120,8230,9279,9392,9405,9889,9954,10527,10543,10717,11422,11565,11572,11617,11755,11785,12255,12291,12542,13060,13069,13093,13201,13281,13284,13592,13756,13959,14060,14066,14254,14504,14547,14623,14674,15064,15401,15431,15712,15712,15834,15988,16482,16594,16595,17183,17369,17381,17551,17702,17753,17785,18312,18865,19018,19020,19816,20701,20713,20756,20801,21753,21916,22137,22294,22585,22980,23986,24830,25062,25837,25972,26074,26787,27043,27573,27621,27882,28156,28778,28782,28918,29018,29108,29506,30294,30376,30416,30484,30506,30684,31010,31036,31062,31069,31124,31739,31872,32166,32495,32690,32961,33102,33488,34063,34642,36800,37249,37994,38126,38439,38663,39099,39415,39434,39949,40121,40752,40838,41322,41572,41903,42564,42785,43531,44382,44651,45033,45441,45609,45816,46150,47212,47582,48268,48700,48816,49449,51049,51234,51692,52194,52678,52768,53629,53728,54725,54773,56031,56080,56104,57324,58688,58819,59298,59606,60305,60667,60696,61315,62093,64504,64551,64603,64607,65538,67347,68981,69401,70581,72567,72815,72967,73310,74552,75380,75568,77944,78382,79407,83364,87479,87652,89415,90916,91998,92106,94210,96667,97062,98361,99470,102112,104132,107697,107981,110430,110893,111930,113931,114764,116171,120121,120528,123533,127261,128584,129029,132810,133391,144346,150543,154396,156942,158616,159674,162182,173127,176376,190232,194748,194869,203818,204656,227325,231665,237958,241734,247856,251590,275204,294095,294491,297720,305752,307248,312561,314267,358728,379600,397788,416996,513234,666486
24,1105,1193,1339,1777,2019,2144,2189,2344,2394,2429,2553,2599,2658,3006,3063,3239,3241,3476,3511,3802,3954,4046,4051,4078,4091,4146,4176,4250,4320,4341,4546,4629,4687,5096,5156,5305,5312,5334,5359,5375,5422,5513,5541,5543,5572,5618,5685,5809,5827,5848,5857,5986,6015,6043,6114,6133,6240,6281,6438,6505,6577,6583,6880,6889,6968,7006,7036,7133,7151,7155,7235,7295,7314,7321,7334,7376,7384,7387,7411,7605,7631,7677,7706,7859,7881,7885,7956,8096,8197,8294,8308,8356,8370,8528,8605,8649,8674,8707,8781,8818,8842,9061,9122,9202,9260,9269,9330,9341,9420,9481,9665,9769,9829,9861,9890,9948,9956,9996,10179,10194,10313,10364,10381,10383,10408,10515,10519,10868,10903,10998,11002,11143,11174,11178,11199,11260,11284,11318,11339,11347,11472,11594,11620,11637,11749,11779,11792,11925,12037,12037,12079,12261,12379,12483,12488,12726,12826,12839,12897,12932,13168,13224,13278,13280,13282,13317,13598,13616,13660,13976,14014,14022,14417,14468,14560,14650,14662,14688,14719,14804,14879,14881,14890,15115,15197,15273,15326,15326,15486,15499,15515,15645,15758,15820,16810,16846,16966,17067,17128,17434,17443,17641,18087,18870,18900,18971,19133,19135,19177,19349,20097,20371,20469,20530,20874,21352,21566,21807,21902,22199,22251,22638,22739,23110,23527,23745,24515,25621,25943,26090,26361,26378,26943,27095,27605,27999,28105,28623,29342,29725,30371,30455,30489,31311,32240,32325,33010,33187,34321,34974,35485,35949,37232,48319,50907,112743
25,555,735,741,752,773,775,806,957,1155,1206,1295,1370,1405,1425,1475,1541,1626,1633,1669,1723,1735,1760,1762,1787,1879,1908,1929,1941,1944,1945,1977,1993,2066,2075,2102,2110,2122,2150,2250,2278,2278,2327,2331,2345,2358,2457,2480,2493,2523,2532,2548,2565,2613,2653,2701,2715,2759,2809,2825,2828,2871,2872,2876,2949,3000,3084,3085,3086,3096,3121,3125,3155,3163,3171,3208,3212,3232,3245,3305,3375,3454,3512,3548,3568,3633,3655,3681,3716,3759,3761,3829,3877,3924,3956,3977,3995,4084,4175,4196,4208,4312,4319,4344,4347,4385,4433,4508,4512,4518,4588,4600,4607,4624,4664,4669,4861,4891,4926,4934,4939,4943,5082,5112,5183,5265,5267,5281,5304,5307,5387,5431,5537,5587,5606,5622,5662,5709,5712,5743,5760,5762,5825,6022,6035,6040,6112,6114,6145,6148,6159,6213,6239,6257,6257,6277,6322,6334,6410,6462,6568,6575,6710,6737,6829,6845,6858,6910,6969,7001,7003,7017,7046,7236,7299,7352,7360,7364,7367,7493,7496,7497,7500,7619,7888,7936,8037,8051,8074,8139,8255,8305,8352,8430,8446,8583,8653,8757,8970,9052,9062,9093,9115,9141,9183,9185,9199,9301,9312,9320,9343,9415,9418,9445,9574,9767,9792,9853,10160,10328,10374,10397,10412,10448,10654,10918,11222,11352,11384,11701,11766,12173,12294,12423,12559,12715,12795,13001,13006,13012,13242,13254,13261,13282,13509,13691,13775,13997,14070,15020,15187,15564,18668,18832,22111,28244,28987
26,89,99,125,126,175,199,200,207,232,236,237,249,251,255,289,302,307,343,345,359,380,426,426,446,448,457,458,460,460,467,498,524,527,547,548,552,568,574,609,615,616,624,641,666,674,676,701,709,715,741,764,772,778,787,803,811,813,842,852,895,899,900,927,927,932,936,940,941,950,969,972,984,989,989,999,1034,1040,1056,1060,1090,1105,1109,1110,1123,1125,1169,1171,1174,1175,1182,1184,1192,1195,1196,1209,1218,1234,1246,1262,1275,1278,1291,1305,1322,1328,1338,1351,1374,1378,1418,1424,1437,1449,1462,1466,1474,1481,1482,1529,1529,1539,1542,1548,1551,1565,1611,1628,1665,1674,1674,1677,1683,1689,1726,1738,1739,1746,1779,1790,1810,1857,1862,1888,1936,1958,1963,2003,2012,2060,2103,2134,2139,2205,2247,2284,2309,2316,2342,2373,2399,2420,2425,2610,2646,2654,2667,2707,2734,2741,2755,2793,2801,2801,2808,2817,2850,2909,2910,2917,2991,2997,3010,3011,3053,3054,3114,3120,3129,3179,3229,3259,3290,3290,3408,3450,3473,3480,3483,3504,3580,3596,3599,3672,3676,3772,3775,3787,3840,3863,4050,4057,4084,4115,4142,4176,4208,4309,4347,4354,4398,4460,4565,4566,4616,4626,4704,4887,4888,4984,5070,5223,5296,5407,5532,5703,5724,5871,5874,6045,6203,6253,6475,6610,6662,6995,7636,7850,8165,8201,8696,8699,9136,9163,9542,9861,10098
