Rank,Min Steps,Average Steps,Max Steps,Min Time,Average Time,Max Time,Count
204,1144567,4617545.75,7911916,2148.763,20646.645,45266.021,4
207,931962,3684701.285714286,7602632,1776.911,17160.665142857142,43888.322,7
210,931942,3269267.5833333335,6619577,1776.8410000000001,15142.844749999998,38897.841,12
213,257166,1890899.0,6082620,104.289,7813.995428571428,35811.541,14
216,208574,519815.73333333334,1094584,59.221000000000004,721.5558666666667,2247.035,15
219,203886,265006.375,485383,55.001,137.1136875,413.975,16
222,1619,9194.0625,40549,1.137,4.808375,21.77,16
225,11,60.5625,210,0.23800000000000002,0.3725,0.462,16
